0.00000               0               0      -2905577.2               0 -2905577.24895732      0.00000000
0.00020               0               0      -2993975.7       438904.33 -2555071.37370701     18.81448602
0.00040               0               0      -3241954.6       924855.55 -2317099.00488898     39.64572843
0.00060               0               0      -3402255.9       699213.09 -2703042.80194012     29.97312631
0.00080               0               0      -3205736.7       462763.79 -2742972.91036660     19.83726804
0.00100               0               0      -3016128.3       239421.85 -2776706.42987143     10.26328235
0.00120               0               0      -3010941.5       561240.26 -2449701.21193688     24.05865292
0.00140               0               0      -3201950.7       867808.76 -2334141.96713778     37.20030694
0.00160               0               0      -3435839.5       489792.46 -2946047.07411143     20.99590452
0.00180               0               0      -3335091.3       400850.35 -2934240.92471982     17.18322838
